iter	RMSE
0	73319.53596
1	73026.28385
2	72739.2418
3	72436.01967
4	72153.03814
5	71928.24217
6	71678.02516
7	71452.2927
8	71259.2268
9	71064.06383
10	70890.23255
11	70726.25061
12	70579.85818
13	70423.19466
14	70279.97211
15	70134.5058
16	69994.60679
17	69892.41972
18	69789.75368
19	69698.71203
20	69599.29959
21	69523.12581
22	69445.60282
23	69366.06142
24	69282.17969
25	69217.87433
26	69149.24834
27	69087.74638
28	69024.37065
29	68965.81723
30	68916.004
31	68871.89919
32	68826.6402
33	68784.72565
34	68747.22118
35	68695.4379
36	68652.23725
37	68618.41141
38	68574.21857
39	68544.19523
40	68509.31485
41	68479.83126
42	68444.72911
43	68422.35074
44	68396.43593
45	68372.73122
46	68223.78228
47	68197.53076
48	68177.57731
49	68156.65161
50	68137.0727
51	68119.5254
52	68100.33701
53	68085.52216
54	68064.62845
55	68045.66843
56	68031.50348
57	68007.95642
58	67986.91168
59	67975.78364
60	67963.94926
61	67944.73565
62	67932.73235
63	67921.43103
64	67910.55095
65	67370.32058
66	67358.36025
67	67342.50921
68	67333.94788
69	67323.74432
70	67310.35881
71	67295.28639
72	67274.32024
73	67267.81238
74	67258.87654
75	67252.52494
76	67244.80609
77	67132.95701
78	67125.44348
79	67119.40122
80	67112.20292
81	67105.35374
82	67097.21215
83	67092.62877
84	67086.96878
85	67072.83148
86	67065.61215
87	67060.82446
88	67054.68833
89	67046.59398
90	66647.86424
91	66642.89434
92	66638.36432
93	66633.52871
94	66626.94365
95	66622.79443
96	66616.28677
97	66611.33165
98	66604.95918
99	66600.06276
100	66595.61406
101	66584.65538
102	66580.33332
103	66574.0195
104	66422.78031
105	66420.06611
106	66417.82705
107	66412.62619
108	66408.59872
109	66406.48058
110	66402.13368
111	66396.9932
112	66394.78302
113	66390.58884
114	66387.71452
115	65591.02017
116	65587.60346
117	65579.21886
118	65565.42046
119	65561.57533
120	65559.1407
121	65556.33662
122	65553.17247
123	65548.32902
124	65545.00073
125	65541.79215
126	64754.58979
127	64752.45354
128	64134.71259
129	64109.34081
130	64107.24657
131	64104.33401
132	64099.68867
133	63331.13997
134	62829.31139
135	62826.56285
136	62824.25697
137	62820.65939
138	62068.99591
139	62065.59196
140	62064.47063
141	62058.97894
142	62054.53659
143	62053.63103
144	62049.3272
145	62042.76936
146	62040.73725
147	62037.13334
148	61938.77424
149	61901.78391
150	61763.24404
151	61024.48791
152	61023.45321
153	61021.54992
154	61018.18363
155	61017.06385
156	61015.78091
157	60286.76359
158	60283.60521
159	59563.17223
160	58853.52112
161	58847.38669
162	58845.89586
163	58844.43865
164	58842.39172
165	58841.08935
166	58838.62401
167	58837.06543
168	58834.57778
169	58832.15327
170	58130.84577
171	58129.48489
172	57680.66087
173	57677.09539
174	57670.72263
175	57668.39096
176	57666.39049
