iter	Passed	Remaining
0	40	102360
1	76	95721
2	113	94538
3	149	93502
4	186	93247
5	223	92812
6	260	92946
7	300	93697
8	335	92958
9	372	92719
10	408	92425
11	445	92346
12	480	91876
13	518	92109
14	556	92242
15	599	93025
16	637	93087
17	677	93395
18	725	94794
19	763	94645
20	801	94578
21	838	94449
22	870	93717
23	905	93413
24	945	93584
25	980	93329
26	1017	93236
27	1055	93196
28	1092	93047
29	1129	92971
30	1167	92946
31	1204	92863
32	1241	92794
33	1275	92495
34	1311	92376
35	1349	92369
36	1386	92308
37	1420	92027
38	1456	91921
39	1491	91732
40	1533	91962
41	1569	91854
42	1611	92092
43	1645	91821
44	1683	91831
45	1722	91900
46	1760	91862
47	1803	92118
48	1840	92079
49	1876	91963
50	1911	91776
51	1942	91425
52	1978	91342
53	2015	91311
54	2053	91270
55	2095	91432
56	2130	91298
57	2167	91275
58	2202	91113
59	2240	91113
60	2273	90911
61	2312	90922
62	2351	90972
63	2384	90775
64	2416	90511
65	2458	90672
66	2489	90416
67	2524	90274
68	2561	90236
69	2592	89997
70	2630	89977
71	2669	90015
72	2704	89918
73	2738	89774
74	2772	89656
75	2807	89529
76	2841	89404
77	2877	89350
78	2911	89214
79	2942	89009
80	2978	88941
81	3012	88844
82	3044	88660
83	3077	88516
84	3113	88473
85	3151	88458
86	3188	88430
87	3217	88186
88	3252	88112
89	3288	88061
90	3324	87998
91	3354	87812
92	3390	87750
93	3427	87716
94	3464	87710
95	3498	87606
96	3537	87645
97	3567	87447
98	3599	87293
99	3631	87146
100	3667	87102
101	3705	87111
102	3741	87071
103	3774	86960
104	3806	86835
105	3837	86676
106	3870	86555
107	3907	86540
108	3941	86466
109	3973	86333
110	4007	86253
111	4042	86201
112	4076	86101
113	4103	85893
114	4136	85794
115	4170	85702
116	4197	85494
117	4233	85459
118	4266	85364
119	4298	85247
120	4331	85164
121	4364	85076
122	4396	84961
123	4431	84905
124	4465	84839
125	4503	84855
126	4541	84854
127	4578	84836
128	4611	84764
129	4647	84728
130	4682	84675
131	4711	84515
132	4742	84404
133	4777	84348
134	4809	84253
135	4842	84181
136	4875	84089
137	4903	83930
138	4941	83931
139	4975	83865
140	5001	83674
141	5040	83705
142	5077	83693
143	5110	83620
144	5142	83529
145	5177	83477
146	5213	83444
147	5248	83405
148	5284	83376
149	5320	83357
150	5356	83325
151	5391	83288
152	5419	83133
153	5453	83084
154	5486	82999
155	5511	82819
156	5541	82705
157	5576	82663
158	5610	82607
159	5648	82608
160	5682	82554
161	5716	82502
162	5747	82403
163	5778	82310
164	5811	82247
